description,price_$,decade,tag,cat
AFC Pro Bowl NFL Shirt,200.0,1970,,
Pink Floyd Animals Tour Shirt,500.0,1970,Pink Floyd,Music
Tom Petty Damn The Torpedoes Tour Shirt,350.0,1970,Tom Petty,Music
Lynyrd Skynyrd Sound Seventy Productions Concert Shirt,400.0,1970,,
Led Zeppelin Tour Shirt,500.0,1970,Led Zeppelin,Music
AHRA Winter Nationals Tucson Dragway Shirt,125.0,1970,,
NHRA Summer Nationals New Jersey Shirt,125.0,1970,,
NHRA 23rd Annual Nationals Shirt,150.0,1970,,
War Eagle HP Racing Enterprises Shirt,150.0,1970,,
Manfried Mann's Earth Band Shirt,125.0,1970,,
Lynyrd Skynyrd Street Survivors Shirt,300.0,1970,,
Led Zeppelin Knebworth Concert Shirt,500.0,1970,Led Zeppelin,Music
Star Wars R2-D2 Shirt,200.0,1970,Star Wars,Entretainment
Gator Nationals NHRA Shirt,150.0,1970,,
Dale Pulde War Eagle Orange County International Raceway Shirt,175.0,1970,,
Neil Diamond In Concert Shirt,200.0,1970,,
Tom The Mongoose McEwen English Leather Shirt,175.0,1970,,
The Crickets Chirpin Shirt,150.0,1970,,
Rolling Stones American Tour Shirt,500.0,1970,Rolling Stones,Music
Music Train CBS Records Nashville Shirt,100.0,1970,,
Bob Dylan Universal Amphitheater Concert Shirt,500.0,1970,Bob Dylan,Music
Thor Midsong International Records Promo Shirt,200.0,1970,,
John Cale CBGB Concert Shirt,1.0,1970,,
Supertramp Breakfast In America Shirt,125.0,1970,,
The Beatles 10th Anniversary Shirt,250.0,1970,Beatles,Music
Van Halen Shirt,250.0,1970,Van Halen,Music
Thin Lizzy Decca Promo Shirt,750.0,1970,,
Led Zeppelin Concerts West Crew Tour Shirt,2.0,1970,Led Zeppelin,Music
Popular Hot Rodding Magazine Shirt,200.0,1970,,
War Greatest Hits Promo Shirt,150.0,1970,,
The Who Showco Crew Shirt,400.0,1970,The Who,Music
Whats Up Doc Dark Horse Records George Harrison Promo Jersey Shirt,500.0,1970,,
