description,price_$,decade,tag,cat
Guns N Roses Used To Love Her Shirt,300.0,1980,Guns N Roses,Music
Molly Hatchet Shirt,100.0,1980,,
The Clash Know Your Rights Tour Shirt,300.0,1980,The Clash,Music
Michael Jackson Kansas City Tour Shirt,200.0,1980,Michael Jackson,Music
Dallas Cowboys NFL Shirt,60.0,1980,,
Lady Divine Harris Glenn Milstead Shirt,1.0,1980,,
Comic Relief Shirt,100.0,1980,,
Tie Dye Shirt,50.0,1980,,
Bob Seger & The Silver Bullet Band Sweatshirt,100.0,1980,Bob Seger,Music
The Clash Joe Strummer Out Of Control Tour Shirt,500.0,1980,The Clash,Music
Pink Floyd Dark Side Of The Moon Shirt,150.0,1980,Pink Floyd,Music
Record Factory Walnut Creek Shirt,100.0,1980,,
Deep Purple House Of Blue Light Tour Jersey Shirt,125.0,1980,,
Judas Priest Defenders Of The Faith Jersey Shirt,200.0,1980,,
MTV Music Television Shirt,135.0,1980,,
King Tut Long Sleeve Shirt,60.0,1980,,
Kiss Animalize Sleeveless Sweatshirt,200.0,1980,Kiss,Music
Black Sabbath Live Evil Shirt,400.0,1980,Black Sabbath,Music
Y&T Black Tiger Tour Shirt,250.0,1980,,
Sylvester Warner Brothers Shirt,100.0,1980,,
Motorhead Eat The Rich Sweatshirt,300.0,1980,,
Cherry Poptart Loves Ya Shirt,150.0,1980,,
The Simpsons Bart Simpson Who The Hell Are You Shirt,125.0,1980,The Simpsons,Entretainment
Jacksons Victory Tour Shirt,150.0,1980,,
Dr Who Shirt,75.0,1980,,
I'm 30 Entering The Twilight Zone Shirt,100.0,1980,,
Metallica Damage Inc Tour Shirt,300.0,1980,Metallica,Music
Jimi Hendrix Tie Dye Shirt,200.0,1980,Jimi Hendrix,Music
Metallica Shortest Straw Shirt,400.0,1980,Metallica,Music
Alice Cooper The Nightmare Returns Tour Shirt,175.0,1980,Alice Cooper,Music
Metallica Kill Em All Shirt,400.0,1980,Metallica,Music
Heart Private Audition Tour Jersey Shirt,150.0,1980,,
Def Leppard Pyromania Tour Jersey Shirt,175.0,1980,Def Leppard,Music
The Damned Who Will Pray For The Damned Shirt,500.0,1980,,
Us Festival Concert Shirt,135.0,1980,,
Barry Manilow Big Fun Tour De Force Shirt,75.0,1980,,
ACDC For Those About To Rock Tour Jersey Shirt,250.0,1980,,
Harley Davidson Motor Cycles Springfield Shirt,100.0,1980,,
Black Sabbath Mob Rules Tour Jersey Shirt,250.0,1980,Black Sabbath,Music
Elton John Bill Graham Crackers Concert Shirt,250.0,1980,Elton John,Music
Eddie Money I Got No Control Tour Shirt,75.0,1980,,
Stevie Nicks Rock A Little Tour Shirt,250.0,1980,,
Van Halen The Forum Sold Out Concert Shirt,300.0,1980,Van Halen,Music
Whitney Houston Moment Of Truth World Tour Shirt,250.0,1980,,
Rolling Stones Wish You Were Here New Orleans Tour Shirt,135.0,1980,Rolling Stones,Music
U2 Shirt,125.0,1980,U2,Music
Kenny Rogers Tour Shirt,100.0,1980,,
Motley Crue Theatre Of Pain World Tour Shirt,150.0,1980,Motley Crue,Music
Mr Bill Oh Nooo!!! Shirt,100.0,1980,,
Dr Who Shirt,125.0,1980,,
Star Wars Return Of The Jedi Shirt,200.0,1980,Star Wars,Entretainment
Prince And The Revolution Purple Rain Shirt,400.0,1980,,
Metallica Damage Inc Tour Shirt,300.0,1980,Metallica,Music
The Village People Shirt,125.0,1980,,
Star Wars Revenge Of The Jedi Sweatshirt,250.0,1980,Star Wars,Entretainment
Live Aid This Shirt Saves Lives Shirt,150.0,1980,,
Alice Cooper Nightmare Returns Tour Shirt,250.0,1980,Alice Cooper,Music
Pink Floyd Dark Side Of The Moon Shirt,175.0,1980,Pink Floyd,Music
Journey Alpine Valley Concert Jersey Shirt,200.0,1980,Journey,Music
The Who North American Tour Jersey Shirt,150.0,1980,The Who,Music
Harley Davidson Ride Beyond The Ordinary Shirt,100.0,1980,,
The The Infected Shirt,500.0,1980,,
Scorpions World Tour Shirt,200.0,1980,,
Buzzcocks Shirt,300.0,1980,,
Dead Or Alive Shirt,150.0,1980,,
Cyndi Lauper True Colors World Tour Shirt,125.0,1980,,
George Thorogood & The Destroyers On Tour Shirt,85.0,1980,,
Stevie Nicks Back To The Other Side Of The Mirror Shirt,300.0,1980,,
U2 Under A Blood Red Sky Shirt,175.0,1980,U2,Music
Metallica Damage Inc Tour Shirt,300.0,1980,Metallica,Music
The Misfits Beware Fiend Club Shirt,600.0,1980,,
Megadeth Live For Metal Die For Megadeth Shirt,400.0,1980,,
Wearin The World Jacket,150.0,1980,,
Motorhead Eat The Rich Sweatshirt,400.0,1980,,
Judge Dredd DC Comics Shirt,75.0,1980,,
Grateful Dead Go To Heaven Shirt,400.0,1980,Grateful Dead,Music
Fantastic Four Marvel Comics Shirt,150.0,1980,,
Foghat Tight Shoes World Tour Shirt,75.0,1980,,
Ozzy Osbourne Decapitation Shirt,400.0,1980,Ozzy Osbourne,Music
Jacksons Victory World Tour Shirt,100.0,1980,,
Ramones Brain Drain Shirt,250.0,1980,Ramones,Music
Styx Dr Roboto Shirt,60.0,1980,,
The Simpsons Family Portrait Shirt,135.0,1980,The Simpsons,Entretainment
U2 Unforgettable Fire Shirt,125.0,1980,U2,Music
Michael Jackson Bad Sweatshirt,225.0,1980,Michael Jackson,Music
Dangerous Toys Sport'N A Woody Shirt,250.0,1980,,
Joker HaHaHa DC Comics Shirt,150.0,1980,,
Batman The Batman DC Comics Shirt,125.0,1980,Batman,Entretainment
Ramones Michigan State University Concert Shirt,400.0,1980,Ramones,Music
Bon Jovi We're Back Kickin Ass Shirt,150.0,1980,Bon Jovi,Music
Hawg Gone Wild Motorcycle Shirt,125.0,1980,,
Reading Festival Shirt,125.0,1980,,
Grateful Dead Fear And Loathing Tour Tie Dye Shirt,300.0,1980,Grateful Dead,Music
Grateful Dead Sold Out Concert Jersey Shirt,300.0,1980,Grateful Dead,Music
The Clash Combat Rock Tour Shirt,400.0,1980,The Clash,Music
The Who Kids Are Alright 25th Anniversary Edition Shirt,100.0,1980,The Who,Music
Robert Plant World Tour Jersey Shirt,125.0,1980,,
Jaws The Revenge Movie Promo Shirt,150.0,1980,,
Heart Private Audition Tour Jersey Shirt,100.0,1980,,
The Best Of Times Movie Promo Shirt,60.0,1980,,
David Gilmour Tour Jersey Shirt,125.0,1980,,
Rush Signals Tour Shirt,200.0,1980,,
Teachers Movie Promo Soundtrack Shirt,75.0,1980,,
Erasure Wild Tour Shirt,75.0,1980,,
The Cure The Prayer Tour Shirt,650.0,1980,,
Michael Jordan MVP Chicago Bulls NBA Shirt,150.0,1980,,
Secrets Of My Success Michael J Fox Movie Shirt,100.0,1980,,
Refuse To Grow Up Shirt,50.0,1980,,
Michael Jackson Thriller Shirt,200.0,1980,Michael Jackson,Music
Rock N Roll Marathon Concert Shirt,125.0,1980,,
Tazmanian Devil Peace Warner Brothers Shirt,75.0,1980,,
Nike International Shirt,100.0,1980,,
Psycho II Movie Promo Shirt,125.0,1980,,
James Bond Moonraker Movie Promo Shirt,100.0,1980,,
Rush Permanent Waves Tour Shirt,250.0,1980,,
Deep Purple Perfect Strangers Shirt,125.0,1980,,
Michael Jackson Victory Tour Sleeveless Shirt,175.0,1980,Michael Jackson,Music
Bob Seger And The Silver Bullet Band American Tour Shirt,125.0,1980,Bob Seger,Music
Mighty Invaders Playing for Jah People Shirt,125.0,1980,,
Motley Crue Pain Killers Shirt,300.0,1980,Motley Crue,Music
U2 October Shirt,200.0,1980,U2,Music
Born IN East LA Cheech Marin Movie Promo Shirt,150.0,1980,,
Howard The Duck Movie Promo Shirt,100.0,1980,,
The Simpsons Bart Simpson Shirt,125.0,1980,The Simpsons,Entretainment
David Lee Roth World Tour Shirt,150.0,1980,,
Tired Of The Same Old Shit Shirt,150.0,1980,,
Echo & The Bunnymen Spring Tour Shirt,350.0,1980,,
Faith Or Fear Punish The World Tour Shirt,400.0,1980,,
Grateful Dead Warfield Theatre Concert Jersey Shirt,400.0,1980,Grateful Dead,Music
Alternative Tentacles Beach Boys 2 Shirt,850.0,1980,,
Motley Crue Too Crued Shirt,200.0,1980,Motley Crue,Music
Motley Crue Wrecking Crue Tour Shirt,300.0,1980,Motley Crue,Music
Michael Jackson Captain EO Disneyland Shirt,175.0,1980,Michael Jackson,Music
Batman Duh Nuh Nuh Nuh DC Comcis Shirt,150.0,1980,Batman,Entretainment
Research W.S. Burroughs Shirt,400.0,1980,,
The Magic Of Music NARM Convention Shirt,100.0,1980,,
Jerry Garcia New York Palladium Concert Shirt,300.0,1980,,
Neil Young Crazy Horse Europe Tour Shirt,200.0,1980,,
Public Image Ltd Happy Tour Shirt,250.0,1980,,
Twisted Sister Play It Loud Mutha Shirt,175.0,1980,,
Def Leppard Hysteria Shirt,250.0,1980,Def Leppard,Music
Bon Jovi Slippery When Wet Shirt,200.0,1980,Bon Jovi,Music
Corrosion Of Conformity Holier Shirt,300.0,1980,,
The Jacksons Victory Tour Shirt,135.0,1980,,
David Lee Roth Eat Em And Smile Shirt,150.0,1980,,
Outlaws Soldiers Of Fortune Shirt,100.0,1980,,
Woodstock 20th Anniversary Tie Dye Shirt,150.0,1980,Woodstock,Music
Woodstock 20th Anniversary Shirt,100.0,1980,Woodstock,Music
Woodstock 20th Anniversary Shirt,175.0,1980,Woodstock,Music
What Are You Staring At Dickhead Shirt,250.0,1980,,
Waterfront Shirt,50.0,1980,,
Warrant Shirt,125.0,1980,,
Tom Petty And The Heartbreakers Tour Shirt,250.0,1980,Tom Petty,Music
Todd Rundgren Nearly Human Tour Shirt,250.0,1980,,
Three Stooges Knuckleheads Shirt,125.0,1980,,
The Who Tommy Tie Dye Shirt,150.0,1980,The Who,Music
The Who Tommy Tie Dye Shirt,200.0,1980,The Who,Music
The Who Tommy 25th Anniversary Tie Dye Shirt,150.0,1980,The Who,Music
The Who The Kids Are Alright Tour Shirt,150.0,1980,The Who,Music
The Who The Kids Are Alright Shirt,125.0,1980,The Who,Music
The Who Maximum R&B Kids Are Alright Tour Shirt,135.0,1980,The Who,Music
The Who Kids Are Alright Tour Shirt,125.0,1980,The Who,Music
The Who Kids Are Alright Tour Shirt,175.0,1980,The Who,Music
The Who Kids Are Alright Local Crew Tour Shirt,125.0,1980,The Who,Music
The Simpsons Family Bonding Shirt,100.0,1980,The Simpsons,Entretainment
The Simpsons Family Bonding Shirt,125.0,1980,The Simpsons,Entretainment
The Simpsons Family Bonding Shirt,150.0,1980,The Simpsons,Entretainment
The Simpsons Family Bonding Shirt,135.0,1980,The Simpsons,Entretainment
The Simpsons Bart Simpson Underachiever Shirt,150.0,1980,The Simpsons,Entretainment
The Simpsons Bart Simpson Underachiever Shirt,125.0,1980,The Simpsons,Entretainment
The Sensational Spider-Man Marvel Comics Shirt,300.0,1980,,
The Joker DC Comics HaHaHa Shirt,200.0,1980,,
The Joker DC Comics Costume Shirt,150.0,1980,,
The Joker DC Comics Costume Shirt,250.0,1980,,
The Joker Batman DC Comics Shirt,150.0,1980,Batman,Entretainment
The Damned Farewell To America Concert Shirt,300.0,1980,,
The Cure The Prayer Tour Shirt,400.0,1980,,
The Cult Sonic Temple Tour Shirt,175.0,1980,,
The Creatures Boomerang Shirt,400.0,1980,,
Tesla Shirt,125.0,1980,,
Sturgis Motorcycle Rally Bigger Than Ever Shirt,200.0,1980,,
Stonewall Jackson Country Music Shirt,60.0,1980,,
Stevie Wonder European Tour Shirt,150.0,1980,,
Stevie Nicks The Other Side Of The Mirror Tour Shirt,300.0,1980,,
Simple Minds Tour Crew Polo Shirt,100.0,1980,,
Rush A Show Of Hands Shirt,200.0,1980,,
Rolling Thunder Rally Prisoners Of War Missing In Action Shirt,100.0,1980,,
Rolling Stones Sticky Fingers Steel Wheels Tour Shirt,250.0,1980,Rolling Stones,Music
Rolling Stones Steel Wheels Tour Shirt,100.0,1980,Rolling Stones,Music
Rolling Stones Steel Wheels Tour Shirt,200.0,1980,Rolling Stones,Music
Rolling Stones Bill Graham Day On The Green Concert Shirt,400.0,1980,Rolling Stones,Music
Robert Cray Band Don't Be Afraid Of The Dark Tour Shirt,75.0,1980,,
Ratt Reach For The Sky City To City Tour Jersey Shirt,150.0,1980,,
R.E.M. Green You Are The Everything Shirt,250.0,1980,,
Paul McCartney World Tour Shirt,150.0,1980,,
Pil Public Image Ltd Shirt,300.0,1980,,
New Order Concert North American Tour Shirt,650.0,1980,,
New Kids On The Block Tour Shirt,80.0,1980,,
Neville Brothers New Orleans Shirt,100.0,1980,,
Motley Crue Tour Local Crew Shirt,100.0,1980,Motley Crue,Music
Motley Crue Dr Feelgood Tour Shirt,200.0,1980,Motley Crue,Music
Metallica Ride The Lightning Kill Em All Shirt,500.0,1980,Metallica,Music
Metallica And Justice For All Tour Shirt,400.0,1980,Metallica,Music
Love And Rockets So Alive Tour Shirt,200.0,1980,,
Los Angeles Kings NHL Hockey Shirt,75.0,1980,,
Living Colour Tour Shirt,85.0,1980,,
Kix Dirty Boys Of The Underground Shirt,100.0,1980,,
Kenny Rogers Shirt,75.0,1980,,
Joker DC Comics Shirt,125.0,1980,,
Joker DC Comics Shirt,200.0,1980,,
Joker DC Comics Shirt,250.0,1980,,
Joker DC Comics Shirt,100.0,1980,,
Jefferson Airplane Tour Shirt,175.0,1980,,
Isaac Hayes European Tour Shirt,250.0,1980,,
Isaac Hayes European Tour Shirt,500.0,1980,,
Hanoi Rocks Uzi Suicide Shirt,300.0,1980,,
Halloween This Is My Costume Shirt,80.0,1980,,
Halloween 5 The Revenge Of Michael Myers Shirt,600.0,1980,,
Guns N Roses Was Here Shirt,250.0,1980,Guns N Roses,Music
Guns N Roses Stoned In LA Shirt,400.0,1980,Guns N Roses,Music
Great White Tour Shirt,125.0,1980,,
Great White Double Header Tour Crew Shirt,75.0,1980,,
Gloria Estefan Get On Your Feet World Tour Shirt,100.0,1980,,
Fred Babb Art Is Shirt,300.0,1980,,
Fear No Evil Shirt,100.0,1980,,
F-117 Stealth Fighter Jet Blackbird Shirt,125.0,1980,,
Elvis Costello Spike Tour Shirt,125.0,1980,,
Elton John World Tour Shirt,125.0,1980,Elton John,Music
Elton John The World Tour Shirt,135.0,1980,Elton John,Music
Elton John The World Shirt,125.0,1980,Elton John,Music
Diana Ross Workin Over Time Shirt,150.0,1980,,
Diana Ross Missing You Sleeveless Shirt,75.0,1980,,
Destruction Live Without Sense Tour Shirt,200.0,1980,,
Cinderella Long Cold Winter Local Crew Tour Shirt,85.0,1980,,
Bullet Boys On Tour Shirt,150.0,1980,,
Bullet Boys For The Love Of Money Shirt,125.0,1980,,
Bugs Bunny 50th Birthday Warner Brothers Shirt,100.0,1980,,
Bon Jovi We're Back Kickin Ass Shirt,250.0,1980,Bon Jovi,Music
Bon Jovi Shirt,150.0,1980,Bon Jovi,Music
Bon Jovi Shirt,175.0,1980,Bon Jovi,Music
Billy Squire Don’t Say No All Excess Tour Shirt,125.0,1980,,
Batman Tie Dye Shirt,125.0,1980,Batman,Entretainment
Batman The Joker Hahaha DC Comics Shirt,150.0,1980,Batman,Entretainment
Batman Joker Take Your Best Shot DC Comics Shirt,300.0,1980,Batman,Entretainment
Batman DC Comics Tie Dye Shirt,150.0,1980,Batman,Entretainment
Batman DC Comics Shirt,250.0,1980,Batman,Entretainment
Bang Tango Psycho Café Tour Shirt,135.0,1980,,
Alice Cooper Trashed Big Print Shirt,500.0,1980,Alice Cooper,Music
Alabama Southern Star Shirt,100.0,1980,,
Al Jarreau World Tour Shirt,135.0,1980,,
Aerosmith Pump Shirt,175.0,1980,Aerosmith,Music
Aerosmith Aero-Force One Shirt,175.0,1980,Aerosmith,Music
Zodiac Mindwarp And The Love Reaction Shirt,200.0,1980,,
Van Halen Tour Shirt,300.0,1980,Van Halen,Music
UB40 World Tour Shirt,150.0,1980,,
The Doors Jim Morrison Tie Dye Shirt,400.0,1980,,
The Rainmakers Year Of The Tornado Tour Shirt,125.0,1980,,
The Bears Rise And Shine Shirt,100.0,1980,,
Slayer World Sacrifice Tour Shirt,350.0,1980,,
Slayer Root Of All Evil World Sacrifice Tour Shirt,400.0,1980,,
Silver Surfer Marvel Comics Shirt,400.0,1980,,
Seduce Too Much Aint Enough Tour Shirt,250.0,1980,,
Scorpions Savage Amusement Tour Shirt,150.0,1980,,
Scorpions Savage Amusement Tour Shirt,175.0,1980,,
Sam Kinison Have You Seen Me Lately Shirt,200.0,1980,,
Rod Stewart Out Of Order Tour Shirt,75.0,1980,,
Robin Trower Tour Shirt,100.0,1980,,
Robert Plant Non Stop Go World Tour Shirt,135.0,1980,,
Robert Palmer Heavy Touring Nova Shirt,135.0,1980,,
Prince LoveSexy Shirt,300.0,1980,,
Poison Open Up And Say Ahhh Tour Shirt,175.0,1980,Poison,Music
Pink Floyd Momentary Lapse Of Reason World Tour Shirt,200.0,1980,Pink Floyd,Music
Ozzy Osbourne Checklist Shirt,300.0,1980,Ozzy Osbourne,Music
Oak Ridge Boys Monongahela tour Shirt,50.0,1980,,
Nazareth 20th Anniversary Fox Tour Shirt,150.0,1980,,
Michael Jordan Chicago Bulls MVP NBA Shirt,150.0,1980,,
Michael Jackson Bad Tour Shirt,300.0,1980,Michael Jackson,Music
Metallica Shortest Straw Pushead Shirt,300.0,1980,Metallica,Music
Metallica Damaged Justice Shirt,400.0,1980,Metallica,Music
Magic Johnson Not Luck It's Magic Los Angeles Lakers Shirt,100.0,1980,,
Led Zeppelin Physical Graffiti Shirt,200.0,1980,Led Zeppelin,Music
Kiss Crazy Nights Tour Shirt,150.0,1980,Kiss,Music
Keith Richards Talk Is Cheap Shirt,200.0,1980,,
Kansas Jayhawks NCAA Champions Shirt,75.0,1980,,
John Brannen Mystery Street Tour Shirt,100.0,1980,,
Jimmy Page Tie Dye Shirt,150.0,1980,Jimmy Page,Music
Jimmy Page Tie Dye Shirt,250.0,1980,Jimmy Page,Music
Jackson Browne Contra Cocaine Concert Shirt,300.0,1980,,
Iron Maiden Can I Play With Madness Tour Shirt,300.0,1980,Iron Maiden,Music
INXS Diablo Devil Inside Tour Shirt,300.0,1980,,
Iggy Pop Raw Fucking Power Shirt,650.0,1980,,
I'm 30 And Entering The Twilight Years Zone Shirt,125.0,1980,,
Harley Davidson Old Harleys & Fine Whiskey Shirt,125.0,1980,,
Hall & Oates Ooh Yeah! Shirt,200.0,1980,,
Guns N Roses Australia Tour Crew Shirt,300.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Shirt,300.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Shirt,500.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Japan Tour Shirt,400.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Australian Tour Shirt,300.0,1980,Guns N Roses,Music
Greenpeace Save The Planet Shirt,75.0,1980,,
Grateful Dead New Years Concert Tie Dye Shirt,300.0,1980,Grateful Dead,Music
Grateful Dead Long Strange Trip Tour Tie Dye Shirt,400.0,1980,Grateful Dead,Music
GG Allin EMF Black & Blue Records Promo Shirt,750.0,1980,,
George Thorogood & The Destroyers Tour Shirt,150.0,1980,,
Europe Out Of This World Tour Shirt,100.0,1980,,
Ethel & The Shameless Hussies Hall Of Shame Shirt,125.0,1980,,
Dead Kennedys Give Me Convenience Or Give Me Death Shirt,600.0,1980,,
David Lee Roth Skyscraper World Tour Shirt,150.0,1980,,
David Lee Roth Skyscraper Tour Shirt,150.0,1980,,
Danzig God Don't Like It Shirt,400.0,1980,,
Cinderella Long Cold Winter Tour Shirt,200.0,1980,,
Chicago Bulls Fever NBA Shirt,175.0,1980,,
Caddyshack 2 Movie Promo Shirt,150.0,1980,,
Bon Jovi Bad Medicine The Boys Are Back Shirt,200.0,1980,Bon Jovi,Music
Batman DC Comics Shirt,150.0,1980,Batman,Entretainment
Batman DC Comics Shirt,135.0,1980,Batman,Entretainment
Batman DC Comics Shirt,120.0,1980,Batman,Entretainment
Batman DC Comics Shirt,75.0,1980,Batman,Entretainment
Batman Bats All Over DC Comics Shirt,250.0,1980,Batman,Entretainment
Bad Company Dangerous Age Tour Shirt,100.0,1980,,
Aswad Don't Turn Around Island Records Promo Shirt,300.0,1980,,
Anti Fur Coats Jim Morris Shirt,75.0,1980,,
Alice Cooper Trash Shirt,150.0,1980,Alice Cooper,Music
Aerosmith Elevator Pump Shirt,300.0,1980,Aerosmith,Music
7up The Vacation Spot Wish You Were Here Shirt,150.0,1980,,
Yersinia Pestis Plague Rat Flea Shirt,300.0,1980,,
Whitney Houston Moment Of Truth Tour Shirt,150.0,1980,,
Whitney Houston Moment Of Truth Tour Shirt,300.0,1980,,
Tina Turner What You Get Is What You See Tour Shirt,150.0,1980,,
Tina Turner Break Every Rule Tour Shirt,250.0,1980,,
The Joker HaHaHa DC Comics Shirt,175.0,1980,,
The Cure Kissing Tour Shirt,600.0,1980,Kiss,Music
The Cure All Over Print Shirt,400.0,1980,,
Stormtroopers Of Death Schism Tour Shirt,300.0,1980,,
Stevie Wonder Love Is The Key Tour Shirt,250.0,1980,,
Rush Hold Your Fire Tour Shirt,125.0,1980,,
Rush Hold Your Fire Tour Shirt,250.0,1980,,
Ritchie Valens La Bamba Shirt,400.0,1980,,
Rodney Dangerfield I Don't Get No Respect Shirt,125.0,1980,,
Pink Floyd World Tour Shirt,300.0,1980,Pink Floyd,Music
Pink Floyd Momentary Lapse Of Reason World Tour Shirt,300.0,1980,Pink Floyd,Music
Pink Floyd Momentary Lapse Of Reason Tour Shirt,350.0,1980,Pink Floyd,Music
Pink Floyd Momentary Lapse Of Reason Tour Jersey Shirt,200.0,1980,Pink Floyd,Music
Pink Floyd Momentary Lapse Of Reason Shirt,250.0,1980,Pink Floyd,Music
Penticton Poonfest Shirt,125.0,1980,,
Oingo Boingo Shirt,250.0,1980,,
Motorhead Eat The Rich Shirt,375.0,1980,,
Mike Tyson Heavyweight Champion Shirt,300.0,1980,,
Metallica Metal Up Your Ass Shirt,250.0,1980,Metallica,Music
Metallica Damage Inc Tour Shirt,400.0,1980,Metallica,Music
Megadeth Peace Sells Tour Shirt,275.0,1980,,
Megadeth Peace Sells Euro Tour Shirt,200.0,1980,,
Madonna Who's That Girl World Tour Shirt,300.0,1980,Madonna,Music
Madonna Who's That Girl World Tour Shirt,400.0,1980,Madonna,Music
Los Lobos By The Light Of The Moon Shirt,125.0,1980,,
Kennedy Space Center NASA Shirt,100.0,1980,,
Joker HaHaHa Graphitti DC Comic Shirt,150.0,1980,,
Joker DC Comics Graphitti Shirt,200.0,1980,,
John Mellancamp The Lonesome Jubilee Shirt,100.0,1980,,
Jerry Garcia On Broadway Concert Tie Dye Shirt,275.0,1980,,
Iron Maiden Stranger In A Strange Land Jersey Shirt,700.0,1980,Iron Maiden,Music
Iron Maiden Stranger In A Strange Land Jersey Shirt,800.0,1980,Iron Maiden,Music
Iron Maiden California Tour Jersey Shirt,750.0,1980,Iron Maiden,Music
Indiana University Hoosiers NCAA Champions Shirt,75.0,1980,,
Heart Bad Animals Tour Shirt,100.0,1980,,
Heart Bad Animals Tour Crew Shirt,60.0,1980,,
Guns N Roses Was Here Tour Shirt,500.0,1980,Guns N Roses,Music
Guns N Roses Was Here Shirt,250.0,1980,Guns N Roses,Music
Guns N Roses Was Here Appetite For Destruction Shirt,250.0,1980,Guns N Roses,Music
Guns N Roses Symmetria Tie Dye Shirt,400.0,1980,Guns N Roses,Music
Guns N Roses Robert Williams Tour Shirt,400.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Tour Shirt,350.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Tour Shirt,500.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Shirt,175.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Shirt,400.0,1980,Guns N Roses,Music
Guns N Roses Appetite For Destruction Shirt,250.0,1980,Guns N Roses,Music
Grateful Dead Colorado Concert Shirt,250.0,1980,Grateful Dead,Music
Gloria Estefan Let It Loose Tour Shirt,150.0,1980,,
Genesis Invisible Touch Tour Shirt,100.0,1980,,
Frehley's Comet Rock Soldiers Shirt,150.0,1980,,
Fleetwood Mac Tour Shirt,150.0,1980,Fleetwood Mac,Music
Fleetwood Mac The Mac Is Back Tour Jersey Shirt,175.0,1980,Fleetwood Mac,Music
Fleetwood Mac Tango In The Night Shirt,165.0,1980,Fleetwood Mac,Music
Fishbone The Underdog Tour Shirt,200.0,1980,,
Exodus Meat Party Tour Shirt,300.0,1980,,
Eric Clapton Japan Tour Shirt,75.0,1980,,
Eddie Murphy Raw Comedy Shirt,250.0,1980,,
Dokken Summer Tour Shirt,135.0,1980,,
Def Leppard Hysteria Worth The Wait Shirt,250.0,1980,Def Leppard,Music
Def Leppard Hysteria Tour Shirt,200.0,1980,Def Leppard,Music
David Bowie The Glass Spider Tour Crew Shirt,125.0,1980,David Bowie,Music
David Bowie Glass Spider Tour Shirt,250.0,1980,David Bowie,Music
David Bowie Glass Spider Tour Crew Polo Shirt,60.0,1980,David Bowie,Music
David Bowie Glass Spider Tour Crew Polo Shirt,125.0,1980,David Bowie,Music
Constellations Shirt,100.0,1980,,
Circle Jerks World Tour Shirt,600.0,1980,,
Circle Jerks Gang Green European Tour Shirt,500.0,1980,,
Butthole Surfers See No Evil Shirt,750.0,1980,,
Bryan Adams Into The Fire World Tour Shirt,100.0,1980,,
Bryan Adams Into The Fire World Tour Shirt,135.0,1980,,
Bryan Adams Into The Fire Tour Shirt,135.0,1980,,
Bon Jovi Tour Jersey Shirt,135.0,1980,Bon Jovi,Music
Anthrax I'm The Man Shirt,200.0,1980,,
Alice Cooper Raise Your Fist And Yell Tour Shirt,150.0,1980,Alice Cooper,Music
Alice Cooper Raise Your Fist And Yell Tour Shirt,250.0,1980,Alice Cooper,Music
Alice Cooper Raise Your Fist And Yell Tour Shirt,400.0,1980,Alice Cooper,Music
ZZ Top Afterburner Tour Jersey Shirt,125.0,1980,,
Van Halen 5150 North American Tour Shirt,200.0,1980,Van Halen,Music
Stevie Nicks Rock A Little World Tour Shirt,300.0,1980,,
Stevie Nicks Rock A Little World Tour Shirt,350.0,1980,,
Stevie Nicks Knocking On Heaven's Door Australian Tour Shirt,250.0,1980,,
Statue Of Liberty 100 Year Anniversary Shirt,75.0,1980,,
Spud Webb Slam Dunk Champion Shirt,100.0,1980,,
Run DMC Raising Hell Shirt,500.0,1980,,
Rolling Stones Dirty Work Olga Shirt,200.0,1980,Rolling Stones,Music
Queen Tour Jersey Shirt,250.0,1980,,
Ozzy Osbourne Monsters Of Rock Concert Shirt,250.0,1980,Ozzy Osbourne,Music
Nils Lofgren Flip Shirt,150.0,1980,,
Motorhead Orgasmatron I Came Did You Shirt,500.0,1980,,
Megadeth Peace Sells Tour Shirt,300.0,1980,,
Los Angeles Lakers World Champs NBA Shirt,100.0,1980,,
Kenny Rogers Shirt,100.0,1980,,
Kaw Cajuns Southern Rock N Roll Shirt,50.0,1980,,
Judas Priest Varilite World Tour Crew Shirt,125.0,1980,,
Judas Priest Fuel For Life Bus Driver Shirt,50.0,1980,,
John Fogerty Eye Of The Zombie Tour Shirt,125.0,1980,,
Jimmy Buffett Super Bowl Dance Party Shirt,125.0,1980,Jimmy Buffett,Music
Heart World Tour Jersey Shirt,100.0,1980,,
Hands Across America Shirt,100.0,1980,,
Grateful Dead Ride The Lightning Oakland Coliseum Concert Shirt,400.0,1980,Grateful Dead,Music
George Clinton R&B Skeletons In The Closet Shirt,150.0,1980,,
Genesis Land Of Confusion Tour Jersey Shirt,125.0,1980,,
Elton John World Tour Shirt,150.0,1980,Elton John,Music
Elton John World Tour Shirt,125.0,1980,Elton John,Music
Descendents Bonus Winter Tour Shirt,600.0,1980,,
David Lee Roth Fabulous Picasso Bros Shirt,400.0,1980,,
